generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month,risk,generic_name_encoded,shortage_reason_encoded,dosage_form_encoded,company_name_encoded,update_type_encoded,therapeutic_category_encoded,production_drop_3m,import_dependency,demand_surge,days_since_last_shortage,manufacturer_shortage_history,price_increase_pct
Methotrexate Sodium Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-03-13,Reverified,Rheumatology,2023,3,0,140,8,8,54,1,19,16.975590562283273,76.30045899419868,0,464.0659870019252,0.0,17.33559443565052
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2023-02-15,Revised,Anesthesia,2023,2,0,205,8,8,42,2,1,29.481849636208334,65.37673884931503,0,53.28242778071183,2.356554289820215,5.028441335783423
"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,"Actavis Pharma, Inc.",2025-11-13,New,Psychiatry,2025,11,1,101,8,24,2,0,15,25.251848015635897,66.23874466100575,0,209.42414838770475,4.7875840369699745,0.0
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Other,Tablet,"Teva Pharmaceuticals USA, Inc.",2022-10-12,Revised,Psychiatry,2022,10,0,12,3,24,117,2,15,26.953521970976634,72.1948758797368,0,609.5891190008621,0.0,38.35586063757082
Clindamycin Phosphate; Benzoyl Peroxide Gel,To Be Discontinued,Unknown,Unknown,Gel,"Teva Pharmaceuticals USA, Inc.",2025-08-01,New,Dermatology,2025,8,1,50,8,5,117,0,5,9.53980432289067,46.95046700115162,1,545.4411707008113,0.0,9.466256864552847
Azacitidine Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2020-12-18,Revised,Oncology,2020,12,0,21,8,8,53,2,11,25.490203485178853,49.3409455629231,0,782.2278986301981,0.0,15.953904131373616
Phenobarbital Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-10-31,New,Analgesia/Addiction,2025,10,1,177,8,24,35,0,0,34.95996582490899,31.411658300444294,0,289.8211436351926,4.777400965253017,9.039248298520267
Docetaxel Injection,To Be Discontinued,Unknown,Unknown,Injection,Ingenus Pharmaceuticals LLC,2026-02-20,New,Oncology,2026,2,1,70,8,8,58,0,11,54.022872155900835,38.046397167404905,0,520.1607791018346,2.54599822379968,16.15018194946553
Lorazepam Injection,Current,Unavailable,Other,Injection,"Hikma Pharmaceuticals USA, Inc.",2018-05-03,Revised,Neurology,2018,5,0,134,3,8,53,2,10,44.18541652170414,58.54696529496511,0,264.8464061906601,2.1401329080591456,12.411455894114532
Bumetanide Injection,Current,Available,Unknown,Injection,Mullan Pharmaceutical Inc.,2017-12-13,Reverified,Cardiovascular,2017,12,0,29,8,8,77,1,4,68.06364915023113,71.48545761771396,0,747.1449921882643,2.2431344945028164,39.18625804163633
Clindamycin Palmitate Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,Amneal Pharmaceuticals,2026-03-26,New,Anti-Infective,2026,3,1,48,8,8,10,0,2,9.65304874223901,41.93218193501801,1,916.7611406088366,0.0,11.142437771048531
Hydromorphone Hydrochloride Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2017-11-01,Reverified,Analgesia/Addiction,2017,11,0,108,3,8,42,1,0,42.44641273441356,35.09583617326894,0,669.163689538481,2.6307904514796774,45.71831221641512
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,Sandoz Inc.,2022-10-12,Reverified,Psychiatry,2022,10,0,12,8,24,103,1,15,28.666840114767034,45.01161509484514,0,871.4179966968039,0.0,37.08907098795652
Rocuronium Bromide Injection,Current,Unavailable,Other,Injection,"Mylan Institutional, a Viatris Company",2023-02-15,Reverified,Anesthesia,2023,2,0,205,3,8,78,1,1,68.79605866435344,58.22654847644053,0,511.37495201075166,7.5629234180767195,12.883295127582816
Rifampin Injection,Current,Available,Unknown,Injection,"Mylan Institutional, a Viatris Company",2021-02-17,Reverified,Anti-Infective,2021,2,0,202,8,8,78,1,2,8.83403429289697,13.23519404506208,1,781.9578422483116,9.076989162031653,24.797174521942672
Dexamethasone Sodium Phosphate Injection,Current,Available,Unknown,Injection,"Mylan Institutional, a Viatris Company",2019-02-08,Reverified,Dermatology,2019,2,0,61,8,8,78,1,5,8.205563156384478,0.0,0,526.3962099143612,0.0,27.790194943957005
Ropivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3,0,206,8,8,42,1,1,13.012147091119557,32.88818931118516,0,141.27517669498127,2.592611022027735,32.62410805637587
Tafamidis Meglumine Capsule,To Be Discontinued,Unknown,Unknown,Capsule,Pfizer Inc.,2025-09-29,New,Cardiovascular,2025,9,1,219,8,0,92,0,4,0.0,18.14432662988851,1,586.3524860445123,2.7879657080956064,34.107005115821444
Allopurinol Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2026-02-19,New,Oncology,2026,2,1,6,8,24,117,0,11,14.48489956638478,33.82091565175916,0,151.64615717332168,3.476546480148925,22.79948984769108
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,Sintetica US,2012-02-22,Reverified,Anesthesia,2012,2,0,128,8,8,105,1,1,9.81734676892604,41.74883298601563,0,1318.6951330491188,7.004591273123201,5.68365350537135
Naltrexone Hydrochloride Tablet,Resolved,Unknown,Unknown,Tablet,"Elite Laboratories, Inc.",2024-02-29,Revised,Analgesia/Addiction,2024,2,0,154,8,24,34,2,0,28.00787572952415,35.02853500149371,0,383.06914442863297,2.6013676534182073,29.61332486770431
Chlorothiazide Oral Suspension,To Be Discontinued,Unknown,Unknown,Oral Suspension,"Salix Pharmaceuticals, a division of Bausch Health US, LLC",2026-02-10,New,Cardiovascular,2026,2,1,45,8,16,102,0,4,31.83511951554319,76.9542857583564,1,725.763249407149,3.735245611806138,16.452404368137152
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-11-03,New,Analgesia/Addiction,2025,11,1,0,8,24,35,0,0,62.523416784317725,52.18838482125104,0,495.6553731660419,12.937164891404164,0.0
Etomidate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2022-10-05,Revised,Anesthesia,2022,10,0,85,8,8,53,2,1,44.008476763721006,51.61043591143822,1,68.23530158743296,3.666121277184079,25.85417715589319
Levothyroxine Sodium Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"EMD Serono, Inc.",2025-07-10,New,Endocrinology/Metabolism,2025,7,1,127,8,24,31,0,6,13.461926886751938,58.688557168954844,1,30.0,9.298719580898219,8.98834923141888
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Sun Pharmaceutical Industries, Inc.",2023-07-14,Revised,Psychiatry,2023,7,0,132,8,0,113,2,15,7.031706573032842,19.94567140882308,0,762.1548842759458,5.505962972166499,13.124178847194699
Rifampin Capsule,Current,Unavailable,Discontinuation of the manufacture of the drug,Capsule,"Epic Pharma, LLC",2021-12-22,Reverified,Anti-Infective,2021,12,0,201,2,0,36,1,2,34.838383430130115,67.86045932324592,0,1042.269324369871,2.338873020772451,20.09031703725038
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,20,1,6,0.0,43.333185696219886,0,242.81870247637454,1.837798038473708,0.0
Bupivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,Kindos Pharmaceuticals Co. Ltd.,2018-02-20,Reverified,Anesthesia,2018,2,0,31,8,8,63,1,1,61.629175317087075,59.750573579306675,1,30.0,3.9781822150008805,22.085622156700794
Glyburide Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-06-10,New,Endocrinology/Metabolism,2025,6,1,100,8,24,117,0,6,48.58880241442574,21.41914087311658,0,386.1930436524313,0.6205806257603275,15.249388335885952
Lidocaine Patch,To Be Discontinued,Unknown,Unknown,Patch,"Actavis Pharma, Inc.",2025-07-17,New,Analgesia/Addiction,2025,7,1,129,8,17,2,0,0,15.616486957905904,10.817307147646588,0,172.00903416644337,1.408402100812899,6.841700211696601
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,Eugia US LLC,2018-02-20,Revised,Anesthesia,2018,2,0,128,8,8,38,2,1,0.0,62.99357247655063,0,272.3895120482675,2.7308181969226615,20.69362737527299
Etomidate Injection,Current,Available,Unknown,Injection,"Caplin Steriles, Ltd.",2022-10-05,Reverified,Anesthesia,2022,10,0,85,8,8,22,1,1,52.077447483308255,53.281009574145365,1,713.6307949038498,4.8800306257816874,0.0
Furosemide Injection,Current,Unavailable,Demand increase for the drug,Injection,Eugia US LLC,2020-04-07,Revised,Cardiovascular,2020,4,0,96,1,8,38,2,4,22.709203094947643,25.154865804134772,0,482.3379334090066,9.47799163522314,21.134401675856054
Lisdexamfetamine Dimesylate Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Elite Laboratories, Inc.",2023-07-14,Reverified,Psychiatry,2023,7,0,132,6,0,34,1,15,49.75632623946923,25.867412211956722,1,209.67235439129388,2.5451367196052113,27.05898370255039
Clindamycin Hydrochloride Capsule,To Be Discontinued,Unknown,Unknown,Capsule,Pfizer Inc.,2026-02-25,New,Anti-Infective,2026,2,1,47,8,0,92,0,2,0.0,69.75956525712493,0,705.9752751914182,5.384554139134339,24.578729894263567
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Teva Pharmaceuticals USA, Inc.",2023-07-14,Revised,Psychiatry,2023,7,0,132,8,0,117,2,15,13.012499540924543,18.83293835691879,0,733.4053207765269,0.0,31.83326311322963
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Takeda Pharmaceuticals USA Inc.,2023-07-14,Reverified,Psychiatry,2023,7,0,132,8,0,116,1,15,25.104873994363665,81.1388049716312,0,382.02987988438116,7.180865922661951,37.480285738281744
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Unavailable,Shortage of an active ingredient,Tablet,Aurobindo Pharma USA,2022-10-12,Revised,Psychiatry,2022,10,0,12,6,24,16,2,15,25.93961187529484,25.18634383774689,0,548.270782321321,0.0,18.77978409446377
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2025-11-03,New,Analgesia/Addiction,2025,11,1,0,8,24,35,0,0,15.998690570415127,59.04462236338443,0,682.1756590769411,6.3951594163043035,36.43174226763424
"Divalproex Sodium Tablet, Delayed Release",To Be Discontinued,Unknown,Unknown,Tablet,"Upsher-Smith Laboratories, LLC",2025-04-28,New,Neurology,2025,4,1,68,8,24,122,0,10,37.45699864694998,37.77039353352234,0,649.136095844189,3.7572251401545893,18.723722515234684
Furosemide Injection,Current,Available,Unknown,Injection,"Meitheal Pharmaceuticals, Inc.",2020-04-07,Reverified,Cardiovascular,2020,4,0,96,8,8,72,1,4,3.6475914123481132,58.270123483811545,1,514.2149304379365,3.638041171780631,9.508086896760835
Ketorolac Tromethamine Injection,Current,Available,Unknown,Injection,Sagent Pharmaceuticals,2018-03-26,Reverified,Analgesia/Addiction,2018,3,0,124,8,8,101,1,0,22.15241029957413,33.029491953487764,1,1001.4051413788536,3.0992058462435073,14.108740724043805
Methotrexate Sodium Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-03-13,Reverified,Rheumatology,2023,3,0,140,8,8,54,1,19,27.40591263423798,41.41855606640953,1,703.938284555315,0.09624212682370636,24.004663848074888
Atropine Sulfate Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2012-01-01,Revised,Anesthesia,2012,1,0,20,3,8,54,2,1,35.28877668117498,45.90022185870586,0,342.2623442257935,0.25518847039359116,36.27766772258475
Triamcinolone Hexacetonide Injection,Current,Unavailable,Delay in shipping of the drug,Injection,Medexus,2021-05-04,Reverified,Rheumatology,2021,5,0,229,0,8,71,1,19,39.2322975617778,22.9518759728076,0,344.3658263053833,6.5095604681169466,20.021942822206853
Clonazepam Tablet,Current,Available,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2023-03-10,Revised,Neurology,2023,3,0,51,8,24,117,2,10,2.5071581632426145,61.29813559924277,0,304.6697774521642,4.035810340544164,9.895146925952126
Hydromorphone Hydrochloride Injection,Current,Limited Availability,Other,Injection,"Hospira, Inc., a Pfizer Company",2017-10-31,Revised,Analgesia/Addiction,2017,10,0,108,3,8,54,2,0,0.0,33.70930153762512,1,721.242331529734,3.0773297944562135,41.66390070230568
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Available,Unknown,Tablet,Janssen Pharmaceuticals,2023-07-26,Reverified,Psychiatry,2023,7,0,142,8,24,60,1,15,50.55353643797018,39.97080186251959,1,282.0383539993327,5.33019385190817,0.0
Morphine Sulfate Injection,Current,Unavailable,Demand increase for the drug,Injection,"Hikma Pharmaceuticals USA, Inc.",2017-11-03,Revised,Analgesia/Addiction,2017,11,0,151,1,8,53,2,0,31.64628023959183,23.12431375861273,0,351.28531877901764,4.303930849663756,9.991919232855121
Scopolamine Transdermal System,To Be Discontinued,Unknown,Unknown,Transdermal System,Padagis US LLC,2025-11-03,New,Gastroenterology,2025,11,1,207,8,28,90,0,7,10.030269268868928,0.0,0,870.3078358405344,1.6212053501803596,33.391765673404834
Sodium Bicarbonate Injection,Current,Available,Unknown,Injection,"Exela Pharma Sciences, LLC",2017-07-24,Revised,Endocrinology/Metabolism,2017,7,0,209,8,8,39,2,6,56.02303951045046,40.79738922279628,0,567.0711867235862,11.382988677527743,46.49685869806342
Bumetanide Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-01-31,Reverified,Cardiovascular,2018,1,0,29,8,8,42,1,4,27.313492685857174,98.07753927548416,0,919.4864194924155,6.222269135509322,27.210218963305923
Clonazepam Tablet,Current,Available,Unknown,Tablet,"Prinston Pharmaceutical, Inc.",2023-03-10,Reverified,Neurology,2023,3,0,51,8,24,95,1,10,48.58594368127653,62.261294333756524,0,779.3209556733198,4.3812057200786665,23.74831337245745
Esterified Estrogens Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Pfizer Inc.,2025-07-29,New,Endocrinology/Metabolism,2025,7,1,80,8,24,92,0,6,26.35036962820218,44.57627164584332,1,88.16485982547783,2.459166093358181,15.637022447139879
Promethazine Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"XGen Pharmaceuticals DJB, Inc.",2023-11-21,Revised,Analgesia/Addiction,2023,11,0,193,1,8,127,2,0,66.21495849763974,39.21640175741811,1,464.25342961575456,6.858279067582572,28.22106737073892
Bupivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Somerset Therapeutics, LLC",2018-02-20,Reverified,Anesthesia,2018,2,0,31,8,8,108,1,1,60.106816848864085,45.49424964186502,0,846.4821639889899,1.6372963908217129,21.940515065162185
Finasteride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-08-19,New,Urology,2025,8,1,89,8,24,117,0,22,20.02071703041853,57.03662053385462,0,72.23837719714572,1.3846757770922107,8.68202968978186
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Unavailable,Shortage of an active ingredient,Tablet,Aurobindo Pharma USA,2022-10-12,Revised,Psychiatry,2022,10,0,12,6,24,16,2,15,44.43141901908711,19.02211806320541,1,646.8987871255367,9.079976907221146,15.365093474442691
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,SpecGx LLC,2022-10-12,Reverified,Psychiatry,2022,10,0,12,8,24,109,1,15,37.90751899170295,69.51507728271518,0,486.26723420543965,4.092025528212127,6.98831004979106
Liraglutide Injection,Current,Available,Unknown,Injection,"Novo Nordisk, Inc.",2023-07-18,Reverified,Endocrinology/Metabolism,2023,7,0,131,8,8,86,1,6,52.372631150646974,60.73838893970737,0,30.0,1.7099524398546628,20.204234215712404
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Limited Availability,Shortage of an active ingredient,Tablet,"Lannett Company, Inc.",2022-10-12,Revised,Psychiatry,2022,10,0,12,6,24,65,2,15,5.7015307883979105,60.80008596557456,0,541.8807565816268,4.017057094119032,22.42759209563902
Clindamycin Phosphate Injection,Current,Available,Unknown,Injection,Sandoz Inc.,2023-03-21,Reverified,Anti-Infective,2023,3,0,49,8,8,103,1,2,38.72102919996878,54.646466253814,0,206.88619435571349,6.550559661545128,44.515747979716465
Etomidate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2022-10-05,Revised,Anesthesia,2022,10,0,85,8,8,53,2,1,46.16848973699176,45.43156646926778,0,91.32187625925087,5.863763361865578,11.039043114640677
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2012-02-22,Reverified,Anesthesia,2012,2,0,128,8,8,42,1,1,0.0,59.802947191270036,1,503.1992365379215,6.922786789259356,17.288348677947692
Promethazine Hydrochloride Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2023-11-21,Revised,Analgesia/Addiction,2023,11,0,193,8,8,53,2,0,1.3348297466844983,58.01991094231032,0,30.0,0.25133229178155947,38.887719822698074
Bupivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2018-02-20,Reverified,Anesthesia,2018,2,0,31,8,8,54,1,1,0.0,37.21110435929748,0,263.9983975952912,6.847447485024533,47.076340256868356
Clonazepam Tablet,Current,Limited Availability,Other,Tablet,"Teva Pharmaceuticals USA, Inc.",2023-03-10,Revised,Neurology,2023,3,0,51,3,24,117,2,10,19.611863311108845,32.38076099626818,1,1392.9109883759268,3.462823671846561,27.120664660979976
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",2023-07-14,Reverified,Psychiatry,2023,7,0,132,8,0,79,1,15,39.35084511591924,47.24083849576371,0,727.5778376924302,4.26730230011163,16.19655242827697
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Available,Unknown,"Tablet, Chewable",Takeda Pharmaceuticals USA Inc.,2023-07-14,Reverified,Psychiatry,2023,7,0,133,8,25,116,1,15,55.04714104192056,79.07844333289412,1,191.50128284142642,7.628483480934337,12.90473499093569
Lidocaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Amphastar Pharmaceuticals, Inc.",2012-02-22,Reverified,Anesthesia,2012,2,0,128,8,8,11,1,1,26.481895608395504,17.73964433561418,1,991.4580790351388,6.108177019813869,0.0
Lisdexamfetamine Dimesylate Capsule,Current,Available,Unknown,Capsule,Takeda Pharmaceuticals USA Inc.,2023-07-14,Reverified,Psychiatry,2023,7,0,132,8,0,116,1,15,57.57231091142584,12.714444153446323,0,152.78475372800312,5.053157442864036,6.083475513564451
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,"Lannett Company, Inc.",2022-10-12,Reverified,Psychiatry,2022,10,0,12,8,24,65,1,15,0.0,48.62473850720337,1,306.2066964025846,0.0,21.523436352554114
"Potassium Chloride Capsule, Extended Release",To Be Discontinued,Unknown,Unknown,"Capsule, Extended Release","Teva Pharmaceuticals USA, Inc.",2025-05-19,New,Endocrinology/Metabolism,2025,5,1,187,8,1,117,0,6,0.0,46.119529440832395,0,97.90200652474914,3.8634944338591404,17.285212009785173
Rifampin Capsule,Current,Limited Availability,Shortage of an active ingredient,Capsule,"Lupin Pharmaceuticals, Inc.",2021-12-22,Reverified,Anti-Infective,2021,12,0,201,6,0,68,1,2,23.889046022067625,48.81351661614898,1,589.6279575331073,1.6459738372884987,29.351119609925412
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",2020-04-10,Reverified,Anesthesia,2020,4,0,62,8,8,62,1,1,32.68130897878615,50.36697035398701,0,979.0203677339949,6.133135913192089,17.07195819756248
Dexmedetomidine Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Hikma Pharmaceuticals USA, Inc.",2020-04-10,Revised,Anesthesia,2020,4,0,62,1,8,53,2,1,24.34610503811814,40.08955039803429,1,150.3478186040503,6.972874561106984,9.109140550441856
Dobutamine Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,Pfizer Inc.,2025-08-27,New,Cardiovascular,2025,8,1,69,8,8,92,0,4,0.0,77.7769956492458,1,30.0,3.09390693165171,25.120163890179853
Etomidate Injection,Current,Available,Unknown,Injection,"Caplin Steriles, Ltd.",2022-10-05,Reverified,Anesthesia,2022,10,0,85,8,8,22,1,1,23.217599209744233,9.78011247351666,0,881.8383360817968,1.9988755726339384,57.57897868210197
Methylprednisolone Acetate Injection,Current,Available,Unknown,Injection,Pfizer Inc.,2021-12-15,Reverified,Rheumatology,2021,12,0,143,8,8,92,1,19,0.0,26.773065454834587,0,1043.8301753806882,8.6689023865478,15.23976248905209
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2020-04-10,Reverified,Anesthesia,2020,4,0,62,8,8,20,1,1,38.39345097660077,42.72839527672096,1,30.0,2.1905572989589173,22.083312820180648
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Revised,Endocrinology/Metabolism,2022,2,0,64,8,8,20,2,6,32.331964921936965,8.849846154608322,1,661.0190195062555,0.41638747889124383,32.703883718190205
Everolimus Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2026-03-02,New,Transplant,2026,3,1,86,8,24,117,0,21,6.2024042734528955,41.13120310249443,0,579.276873240351,1.501986540943168,11.425724126461006
"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,"Actavis Pharma, Inc.",2025-11-13,New,Psychiatry,2025,11,1,101,8,24,2,0,15,14.72266165326613,81.5523436460164,1,224.38364328928583,2.335001835657369,39.09136304953074
Remifentanil Hydrochloride Injection,Current,Available,Unknown,Injection,"Mylan Institutional, a Viatris Company",2022-06-28,Reverified,Analgesia/Addiction,2022,6,0,199,8,8,78,1,0,3.8157295622209695,45.45950274251116,0,30.0,1.4159108411513555,0.0
Ropivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3,0,206,8,8,42,1,1,23.746418054536562,50.07541992581103,0,847.1126209062945,6.536174149834217,13.884094740970722
Dexmedetomidine Hydrochloride Injection,Current,Unavailable,Delay in shipping of the drug,Injection,"Fresenius Kabi USA, LLC",2020-04-10,Reverified,Anesthesia,2020,4,0,62,0,8,42,1,1,44.10284641002477,17.276375166203234,0,562.6746860100183,0.0,15.331686537371706
Ropivacaine Hydrochloride Injection,Current,Unavailable,Delay in shipping of the drug,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3,0,206,0,8,42,1,1,5.285479073289125,31.440049023131493,0,589.0492600993523,1.3523187656634126,22.26736617880412
Bumetanide Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-01-31,Reverified,Cardiovascular,2018,1,0,29,8,8,42,1,4,35.08093031035689,36.74567963287339,1,282.3807265083796,3.8575076636354106,0.0
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,20,1,6,14.394847632551183,38.01026787136285,0,219.33177844251486,4.630738660006879,40.29109841991644
Ketorolac Tromethamine Injection,Current,Available,Unknown,Injection,Sagent Pharmaceuticals,2018-03-26,Reverified,Analgesia/Addiction,2018,3,0,124,8,8,101,1,0,9.142543354753116,73.19616349008291,1,30.0,9.075504512573751,26.213263774262522
Meperidine Hydrochloride Injection,Current,Unavailable,Other,Injection,"Hospira, Inc., a Pfizer Company",2025-05-30,Reverified,Analgesia/Addiction,2025,5,0,137,3,8,54,1,0,22.859392800908843,57.26920333595274,0,420.19018957529227,8.635713138291058,36.84247168248692
Amphotericin B Injection,To Be Discontinued,Unknown,Unknown,Injection,"Leadiant Biosciences, Inc.",2025-08-08,New,Anti-Infective,2025,8,1,13,8,8,66,0,2,4.295153551612518,20.547924947385297,0,1003.589232808978,0.0,44.195536061958066
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,Eugia US LLC,2020-04-10,Revised,Anesthesia,2020,4,0,62,8,8,38,2,1,13.927013893056358,50.42310512550411,0,188.41095298297125,0.0,8.89154332494414
Dextrose Monohydrate 5% Injection,Current,Available,Unknown,Injection,B. Braun Medical Inc.,2022-02-14,Reverified,Endocrinology/Metabolism,2022,2,0,64,8,8,18,1,6,1.0424421482230315,55.96087846692927,0,30.0,4.074913787112997,0.0
Glyburide Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-06-10,New,Endocrinology/Metabolism,2025,6,1,100,8,24,117,0,6,64.29450265832779,70.08327884746787,0,652.4825982599507,1.9804442906107358,37.19549112945246
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Available,Unknown,Tablet,SpecGx LLC,2022-10-12,Reverified,Psychiatry,2022,10,0,12,8,24,109,1,15,25.70527103943457,79.77189510450421,0,717.0279994562177,0.42392097405044327,15.704259947399192
Nebivolol Hydrochloride Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Torrent Pharmaceuticals Limited,2026-03-25,New,Cardiovascular,2026,3,1,155,8,24,120,0,4,11.005489840148288,22.66792777978689,0,294.93291376158845,4.048362692381963,3.002472561919088
Atazanavir Sulfate; Cobicistat Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Bristol Myers Squibb Co.,2025-11-03,New,Antiviral,2025,11,1,19,8,24,21,0,3,29.27959821468444,27.161134753372558,0,377.9324373551254,4.692091955003304,28.64449479560765
Clonazepam Tablet,Current,Available,Unknown,Tablet,"Prinston Pharmaceutical, Inc.",2023-03-10,Reverified,Neurology,2023,3,0,51,8,24,95,1,10,22.753439006183402,17.33328710387844,0,592.3660910265655,1.4830946810674672,56.953353981983895
Dexmedetomidine Hydrochloride Injection,Current,Available,Unknown,Injection,Eugia US LLC,2020-04-10,Revised,Anesthesia,2020,4,0,62,8,8,38,2,1,20.580608009335542,39.85156309964641,0,445.55768597973565,2.1277457648875178,18.36640257292502
Dextrose Monohydrate 70% Injection,Current,Available,Unknown,Injection,Otsuka ICU Medical LLC,2024-10-11,Reverified,Endocrinology/Metabolism,2024,10,0,66,8,8,89,1,6,37.28333400086851,55.25988423781936,1,850.0452675138936,1.713875417837051,34.26674460953478
Peritoneal Dialysis Solution,To Be Discontinued,Unknown,Unknown,Solution,Fresenius Medical Care North America,2026-03-10,New,Renal,2026,3,1,176,8,21,43,0,17,40.150154200946105,66.72135936496025,1,1353.0349015734769,2.7655262763361588,5.187458097957974
