generic_name,status,therapeutic_category,company_name,year,month,shortage_reason,production_drop_3m,import_dependency,risk_prediction,risk_label
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2022,10,Other,15.579233887633544,44.795392934950485,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Rubicon Research Private Limited,2023,3,Unknown,29.640998747152725,37.786316236715805,0,Not At Risk
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Cardiovascular,Torrent Pharma Inc.,2025,6,Unknown,0.0,48.41419504489754,1,At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,B. Braun Medical Inc.,2022,2,Unknown,0.0,63.15216182268796,0,Not At Risk
Midodrine Hydrochloride Tablet,To Be Discontinued,Cardiovascular,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,10.63111557495128,25.923135254360197,0,Not At Risk
Quinapril Hydrochloride Tablet,Current,Cardiovascular,"Lupin Pharmaceuticals, Inc.",2023,1,Requirements related to complying with good manufacturing practices,20.731056965763056,30.521437240344355,0,Not At Risk
Baclofen Tablet,To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,31.21815131196009,38.31802736691338,1,At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,InfoRLife SA,2018,3,Unknown,54.50712433899104,15.39083968358927,0,Not At Risk
Fentanyl Citrate Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2012,1,Unknown,42.15319246404039,26.97632708612705,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,21.801229400731454,34.5231407820175,1,At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Unknown,24.619675841946226,64.23656197568,0,Not At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Pfizer Inc.,2023,3,Demand increase for the drug,4.949412707243823,50.77634923804235,0,Not At Risk
Lidocaine Hydrochloride Injection,To Be Discontinued,Anesthesia,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,24.6297372801522,49.25897805008598,1,At Risk
Morphine Sulfate Tablet,To Be Discontinued,Analgesia/Addiction,"Upsher-Smith Laboratories, LLC",2025,12,Unknown,19.226827221597237,63.71975516769539,1,At Risk
Naltrexone Hydrochloride Tablet,Resolved,Analgesia/Addiction,"Sun Pharmaceutical Industries, Inc.",2024,2,Unknown,31.45437120676179,41.97782065521327,0,Not At Risk
Quinapril Hydrochloride Tablet,Current,Cardiovascular,"Solco Healthcare US, LLC",2023,1,Shortage of an active ingredient,8.45538112895354,53.59022669843557,1,At Risk
Clonazepam Tablet,Current,Neurology,"Teva Pharmaceuticals USA, Inc.",2023,3,Unknown,35.38693028482345,42.72912143548509,0,Not At Risk
Memantine Hydrochloride Tablet,To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,55.65477826005156,50.83797168679183,1,At Risk
Midodrine Hydrochloride Tablet,To Be Discontinued,Cardiovascular,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,22.824797030862847,32.17930953254519,1,At Risk
"Streptozocin Powder, For Solution",Current,Oncology,"ESTEVE PHARMACEUTICALS, S.A.",2022,7,Unknown,33.034234441978825,0.0,0,Not At Risk
Clonazepam Tablet,Current,Neurology,Accord Healthcare Inc.,2023,3,Unknown,38.80287983422225,42.04585843190131,0,Not At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Hospira, Inc., a Pfizer Company",2023,3,Unknown,16.975590562283273,76.30045899419868,0,Not At Risk
Rocuronium Bromide Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2023,2,Unknown,29.48184963620833,65.37673884931503,1,At Risk
"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Psychiatry,"Actavis Pharma, Inc.",2025,11,Unknown,25.251848015635897,66.23874466100575,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2022,10,Other,26.953521970976634,72.1948758797368,0,Not At Risk
Clindamycin Phosphate; Benzoyl Peroxide Gel,To Be Discontinued,Dermatology,"Teva Pharmaceuticals USA, Inc.",2025,8,Unknown,9.53980432289067,46.95046700115162,1,At Risk
Azacitidine Injection,Current,Oncology,"Hikma Pharmaceuticals USA, Inc.",2020,12,Unknown,25.490203485178853,49.3409455629231,0,Not At Risk
Phenobarbital Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,10,Unknown,34.95996582490899,31.41165830044429,1,At Risk
Docetaxel Injection,To Be Discontinued,Oncology,Ingenus Pharmaceuticals LLC,2026,2,Unknown,54.02287215590084,38.046397167404905,1,At Risk
Lorazepam Injection,Current,Neurology,"Hikma Pharmaceuticals USA, Inc.",2018,5,Other,44.18541652170414,58.54696529496511,0,Not At Risk
Bumetanide Injection,Current,Cardiovascular,Mullan Pharmaceutical Inc.,2017,12,Unknown,68.06364915023113,71.48545761771396,0,Not At Risk
Clindamycin Palmitate Hydrochloride Injection,To Be Discontinued,Anti-Infective,Amneal Pharmaceuticals,2026,3,Unknown,9.65304874223901,41.93218193501801,1,At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,11,Other,42.44641273441356,35.09583617326894,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Sandoz Inc.,2022,10,Unknown,28.666840114767037,45.01161509484514,0,Not At Risk
Rocuronium Bromide Injection,Current,Anesthesia,"Mylan Institutional, a Viatris Company",2023,2,Other,68.79605866435344,58.22654847644053,0,Not At Risk
Rifampin Injection,Current,Anti-Infective,"Mylan Institutional, a Viatris Company",2021,2,Unknown,8.83403429289697,13.23519404506208,0,Not At Risk
Dexamethasone Sodium Phosphate Injection,Current,Dermatology,"Mylan Institutional, a Viatris Company",2019,2,Unknown,8.205563156384478,0.0,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,3,Unknown,13.012147091119555,32.88818931118516,0,Not At Risk
Tafamidis Meglumine Capsule,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,9,Unknown,0.0,18.14432662988851,1,At Risk
Allopurinol Tablet,To Be Discontinued,Oncology,"Teva Pharmaceuticals USA, Inc.",2026,2,Unknown,14.48489956638478,33.82091565175916,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,Sintetica US,2012,2,Unknown,9.81734676892604,41.74883298601563,1,At Risk
Naltrexone Hydrochloride Tablet,Resolved,Analgesia/Addiction,"Elite Laboratories, Inc.",2024,2,Unknown,28.00787572952415,35.02853500149371,0,Not At Risk
Chlorothiazide Oral Suspension,To Be Discontinued,Cardiovascular,"Salix Pharmaceuticals, a division of Bausch Health US, LLC",2026,2,Unknown,31.83511951554319,76.9542857583564,1,At Risk
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,11,Unknown,62.523416784317725,52.18838482125104,1,At Risk
Etomidate Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2022,10,Unknown,44.008476763721006,51.61043591143822,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,13.461926886751938,58.68855716895485,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Sun Pharmaceutical Industries, Inc.",2023,7,Unknown,7.031706573032842,19.94567140882308,0,Not At Risk
Rifampin Capsule,Current,Anti-Infective,"Epic Pharma, LLC",2021,12,Discontinuation of the manufacture of the drug,34.838383430130115,67.86045932324592,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,0.0,43.333185696219886,1,At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,Kindos Pharmaceuticals Co. Ltd.,2018,2,Unknown,61.62917531708708,59.75057357930668,0,Not At Risk
Glyburide Tablet,To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,48.58880241442574,21.41914087311658,0,Not At Risk
Lidocaine Patch,To Be Discontinued,Analgesia/Addiction,"Actavis Pharma, Inc.",2025,7,Unknown,15.616486957905904,10.817307147646588,1,At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2018,2,Unknown,0.0,62.99357247655063,0,Not At Risk
Etomidate Injection,Current,Anesthesia,"Caplin Steriles, Ltd.",2022,10,Unknown,52.077447483308255,53.281009574145365,1,At Risk
Furosemide Injection,Current,Cardiovascular,Eugia US LLC,2020,4,Demand increase for the drug,22.709203094947643,25.15486580413477,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Elite Laboratories, Inc.",2023,7,Shortage of an active ingredient,49.75632623946923,25.86741221195672,0,Not At Risk
Clindamycin Hydrochloride Capsule,To Be Discontinued,Anti-Infective,Pfizer Inc.,2026,2,Unknown,0.0,69.75956525712493,1,At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2023,7,Unknown,13.012499540924544,18.83293835691879,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Takeda Pharmaceuticals USA Inc.,2023,7,Unknown,25.104873994363665,81.1388049716312,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Aurobindo Pharma USA,2022,10,Shortage of an active ingredient,25.93961187529484,25.18634383774689,0,Not At Risk
Acetaminophen; Oxycodone Hydrochloride Tablet,To Be Discontinued,Analgesia/Addiction,"Endo Pharmaceuticals, Inc.",2025,11,Unknown,15.998690570415128,59.04462236338443,0,Not At Risk
"Divalproex Sodium Tablet, Delayed Release",To Be Discontinued,Neurology,"Upsher-Smith Laboratories, LLC",2025,4,Unknown,37.45699864694998,37.77039353352234,1,At Risk
Furosemide Injection,Current,Cardiovascular,"Meitheal Pharmaceuticals, Inc.",2020,4,Unknown,3.647591412348113,58.270123483811545,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Sagent Pharmaceuticals,2018,3,Unknown,22.15241029957413,33.029491953487764,0,Not At Risk
Methotrexate Sodium Injection,Current,Rheumatology,"Hospira, Inc., a Pfizer Company",2023,3,Unknown,27.40591263423798,41.41855606640953,0,Not At Risk
Atropine Sulfate Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,1,Other,35.28877668117498,45.90022185870586,0,Not At Risk
Triamcinolone Hexacetonide Injection,Current,Rheumatology,Medexus,2021,5,Delay in shipping of the drug,39.2322975617778,22.9518759728076,0,Not At Risk
Clonazepam Tablet,Current,Neurology,"Teva Pharmaceuticals USA, Inc.",2023,3,Unknown,2.5071581632426145,61.29813559924277,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2017,10,Other,0.0,33.70930153762512,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,Janssen Pharmaceuticals,2023,7,Unknown,50.55353643797018,39.97080186251959,0,Not At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2017,11,Demand increase for the drug,31.64628023959183,23.12431375861273,1,At Risk
Scopolamine Transdermal System,To Be Discontinued,Gastroenterology,Padagis US LLC,2025,11,Unknown,10.030269268868928,0.0,1,At Risk
Sodium Bicarbonate Injection,Current,Endocrinology/Metabolism,"Exela Pharma Sciences, LLC",2017,7,Unknown,56.02303951045046,40.79738922279628,0,Not At Risk
Bumetanide Injection,Current,Cardiovascular,"Fresenius Kabi USA, LLC",2018,1,Unknown,27.31349268585717,98.07753927548416,0,Not At Risk
Clonazepam Tablet,Current,Neurology,"Prinston Pharmaceutical, Inc.",2023,3,Unknown,48.58594368127653,62.26129433375653,0,Not At Risk
Esterified Estrogens Tablet,To Be Discontinued,Endocrinology/Metabolism,Pfizer Inc.,2025,7,Unknown,26.35036962820218,44.57627164584332,1,At Risk
Promethazine Hydrochloride Injection,Current,Analgesia/Addiction,"XGen Pharmaceuticals DJB, Inc.",2023,11,Demand increase for the drug,66.21495849763974,39.21640175741811,0,Not At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,"Somerset Therapeutics, LLC",2018,2,Unknown,60.106816848864085,45.49424964186502,0,Not At Risk
Finasteride Tablet,To Be Discontinued,Urology,"Teva Pharmaceuticals USA, Inc.",2025,8,Unknown,20.02071703041853,57.03662053385462,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,Aurobindo Pharma USA,2022,10,Shortage of an active ingredient,44.43141901908711,19.02211806320541,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,SpecGx LLC,2022,10,Unknown,37.90751899170295,69.51507728271518,0,Not At Risk
Liraglutide Injection,Current,Endocrinology/Metabolism,"Novo Nordisk, Inc.",2023,7,Unknown,52.372631150646974,60.73838893970737,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Lannett Company, Inc.",2022,10,Shortage of an active ingredient,5.701530788397911,60.80008596557456,0,Not At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Sandoz Inc.,2023,3,Unknown,38.72102919996878,54.646466253814,0,Not At Risk
Etomidate Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2022,10,Unknown,46.16848973699176,45.43156646926778,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2012,2,Unknown,0.0,59.80294719127004,0,Not At Risk
Promethazine Hydrochloride Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2023,11,Unknown,1.3348297466844985,58.01991094231032,1,At Risk
Bupivacaine Hydrochloride Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2018,2,Unknown,0.0,37.21110435929748,0,Not At Risk
Clonazepam Tablet,Current,Neurology,"Teva Pharmaceuticals USA, Inc.",2023,3,Other,19.611863311108845,32.38076099626818,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,"Mylan Pharmaceuticals Inc., a Viatris Company",2023,7,Unknown,39.35084511591924,47.24083849576371,0,Not At Risk
"Lisdexamfetamine Dimesylate Tablet, Chewable",Current,Psychiatry,Takeda Pharmaceuticals USA Inc.,2023,7,Unknown,55.04714104192056,79.07844333289412,0,Not At Risk
Lidocaine Hydrochloride Injection,Current,Anesthesia,"Amphastar Pharmaceuticals, Inc.",2012,2,Unknown,26.481895608395504,17.73964433561418,0,Not At Risk
Lisdexamfetamine Dimesylate Capsule,Current,Psychiatry,Takeda Pharmaceuticals USA Inc.,2023,7,Unknown,57.57231091142584,12.714444153446324,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Lannett Company, Inc.",2022,10,Unknown,0.0,48.62473850720337,0,Not At Risk
"Potassium Chloride Capsule, Extended Release",To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,5,Unknown,0.0,46.1195294408324,1,At Risk
Rifampin Capsule,Current,Anti-Infective,"Lupin Pharmaceuticals, Inc.",2021,12,Shortage of an active ingredient,23.889046022067625,48.81351661614898,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",2020,4,Unknown,32.68130897878615,50.36697035398701,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,"Hikma Pharmaceuticals USA, Inc.",2020,4,Demand increase for the drug,24.34610503811814,40.08955039803429,1,At Risk
Dobutamine Hydrochloride Injection,To Be Discontinued,Cardiovascular,Pfizer Inc.,2025,8,Unknown,0.0,77.7769956492458,1,At Risk
Etomidate Injection,Current,Anesthesia,"Caplin Steriles, Ltd.",2022,10,Unknown,23.217599209744236,9.78011247351666,0,Not At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Pfizer Inc.,2021,12,Unknown,0.0,26.773065454834587,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Baxter Healthcare,2020,4,Unknown,38.39345097660077,42.72839527672096,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,32.331964921936965,8.849846154608322,0,Not At Risk
Everolimus Tablet,To Be Discontinued,Transplant,"Teva Pharmaceuticals USA, Inc.",2026,3,Unknown,6.202404273452896,41.13120310249443,1,At Risk
"Guanfacine Hydrochloride Tablet, Extended Release",To Be Discontinued,Psychiatry,"Actavis Pharma, Inc.",2025,11,Unknown,14.72266165326613,81.5523436460164,1,At Risk
Remifentanil Hydrochloride Injection,Current,Analgesia/Addiction,"Mylan Institutional, a Viatris Company",2022,6,Unknown,3.8157295622209695,45.45950274251116,1,At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,3,Unknown,23.74641805453656,50.07541992581103,1,At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2020,4,Delay in shipping of the drug,44.10284641002477,17.276375166203234,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Fresenius Kabi USA, LLC",2018,3,Delay in shipping of the drug,5.285479073289125,31.440049023131493,0,Not At Risk
Bumetanide Injection,Current,Cardiovascular,"Fresenius Kabi USA, LLC",2018,1,Unknown,35.08093031035689,36.74567963287339,0,Not At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,Baxter Healthcare,2022,2,Unknown,14.394847632551183,38.01026787136285,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Sagent Pharmaceuticals,2018,3,Unknown,9.142543354753116,73.19616349008291,0,Not At Risk
Meperidine Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2025,5,Other,22.859392800908843,57.26920333595274,0,Not At Risk
Amphotericin B Injection,To Be Discontinued,Anti-Infective,"Leadiant Biosciences, Inc.",2025,8,Unknown,4.295153551612518,20.547924947385297,1,At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2020,4,Unknown,13.927013893056358,50.42310512550411,1,At Risk
Dextrose Monohydrate 5% Injection,Current,Endocrinology/Metabolism,B. Braun Medical Inc.,2022,2,Unknown,1.0424421482230315,55.96087846692927,0,Not At Risk
Glyburide Tablet,To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,64.29450265832779,70.08327884746787,1,At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,SpecGx LLC,2022,10,Unknown,25.70527103943457,79.77189510450421,0,Not At Risk
Nebivolol Hydrochloride Tablet,To Be Discontinued,Cardiovascular,Torrent Pharmaceuticals Limited,2026,3,Unknown,11.005489840148288,22.66792777978689,1,At Risk
Atazanavir Sulfate; Cobicistat Tablet,To Be Discontinued,Antiviral,Bristol Myers Squibb Co.,2025,11,Unknown,29.27959821468444,27.16113475337256,1,At Risk
Clonazepam Tablet,Current,Neurology,"Prinston Pharmaceutical, Inc.",2023,3,Unknown,22.7534390061834,17.33328710387844,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Eugia US LLC,2020,4,Unknown,20.580608009335545,39.85156309964641,0,Not At Risk
Dextrose Monohydrate 70% Injection,Current,Endocrinology/Metabolism,Otsuka ICU Medical LLC,2024,10,Unknown,37.28333400086851,55.25988423781936,1,At Risk
Peritoneal Dialysis Solution,To Be Discontinued,Renal,Fresenius Medical Care North America,2026,3,Unknown,40.150154200946105,66.72135936496025,1,At Risk
Vancomycin Hydrochloride Injection,To Be Discontinued,Anti-Infective,"Hospira, Inc., a Pfizer Company",2025,11,Unknown,14.38997704778945,43.3290774798645,1,At Risk
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,Cardiovascular,Torrent Pharma Inc.,2025,6,Unknown,13.4836351871064,37.96335448839344,1,At Risk
Hydrocortisone Sodium Succinate Injection,Resolved,Pulmonary/Allergy,"Hospira, Inc., a Pfizer Company",2023,3,Unknown,19.49896605696712,48.33867582947229,0,Not At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Lannett Company, Inc.",2023,7,Shortage of an active ingredient,0.0,26.626856164139493,0,Not At Risk
Valproate Sodium Injection,Current,Neurology,"Hikma Pharmaceuticals USA, Inc.",2020,12,Unknown,0.0,90.969851877285,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,Gland Pharma Limited,2020,4,Other,52.337485348890496,9.631457403402706,0,Not At Risk
"Potassium Chloride Tablet, Extended Release",To Be Discontinued,Endocrinology/Metabolism,"Teva Pharmaceuticals USA, Inc.",2025,11,Unknown,57.89935427002568,49.06429273570594,1,At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,InfoRLife SA,2018,3,Unknown,20.019279208872437,89.51933682305207,0,Not At Risk
Sterile Water Irrigant,Current,Gastroenterology,Baxter Healthcare,2023,4,Other,36.53113926111533,45.14959658031995,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Elite Laboratories, Inc.",2022,10,Shortage of an active ingredient,31.22500309087072,40.81914122996712,0,Not At Risk
Insulin Aspart Protamine and Insulin Aspart Mix 70/30 Injectable Suspension,To Be Discontinued,Endocrinology/Metabolism,"Novo Nordisk, Inc.",2025,7,Unknown,86.57761616910476,37.136200698170605,1,At Risk
Lactated Ringers Injection,Resolved,Endocrinology/Metabolism,Baxter Healthcare,2024,10,Unknown,47.39149822869153,41.03138300122703,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Somerset Therapeutics, LLC",2018,3,Unknown,22.44164817038467,75.20266644288367,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,"Meitheal Pharmaceuticals, Inc.",2020,4,Unknown,5.889191187991486,0.0,0,Not At Risk
Hydromorphone Hydrochloride Injection,Current,Analgesia/Addiction,"Hospira, Inc., a Pfizer Company",2017,10,Other,0.0,78.73554142851916,0,Not At Risk
Methylprednisolone Acetate Injection,Current,Rheumatology,Pfizer Inc.,2021,12,Unknown,29.06927271734446,13.672942646096809,0,Not At Risk
Ropivacaine Hydrochloride Injection,Current,Anesthesia,"Caplin Steriles, Ltd.",2020,12,Unknown,9.872985094313933,39.13364875684288,0,Not At Risk
Furosemide Injection,Current,Cardiovascular,"Hospira, Inc., a Pfizer Company",2020,4,Other,0.0,35.55662275342944,0,Not At Risk
Dexmedetomidine Hydrochloride Injection,Current,Anesthesia,Amneal Pharmaceuticals,2020,4,Unknown,12.068542315149468,57.94817193495584,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,3.3690399277121017,9.841264258557551,1,At Risk
Amino Acid Injection,Current,Gastroenterology,Baxter Healthcare,2020,12,Unknown,58.74283270145129,55.16779865380274,0,Not At Risk
Clonazepam Tablet,Current,Neurology,"Prinston Pharmaceutical, Inc.",2023,3,Unknown,42.63279513898901,89.53481171231076,0,Not At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Baxter Healthcare,2023,3,Demand increase for the drug,24.84054717366765,15.01017189895817,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,Gland Pharma Limited,2018,3,Other,54.59888277780052,49.1735356874287,0,Not At Risk
Adalimumab-adaz Injection,To Be Discontinued,Rheumatology,Sandoz Inc.,2026,1,Unknown,26.547366152952367,30.4363920884746,1,At Risk
Tobramycin Solution,To Be Discontinued,Pulmonary/Allergy,"Teva Pharmaceuticals USA, Inc.",2025,6,Unknown,7.774315973434728,54.36951853624679,1,At Risk
"Potassium Chloride Tablet, Extended Release",To Be Discontinued,Endocrinology/Metabolism,"Upsher-Smith Laboratories, LLC",2025,7,Unknown,55.462481545393146,45.42125110314655,1,At Risk
Amino Acid Injection,Current,Gastroenterology,Baxter Healthcare,2020,12,Unknown,35.77820087369317,30.88728800102519,0,Not At Risk
Frovatriptan Succinate Tablet,To Be Discontinued,Neurology,"Endo Pharmaceuticals, Inc.",2026,2,Unknown,4.255076913470873,55.73319026716363,1,At Risk
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Psychiatry,"Vertical Pharmaceuticals, LLC",2023,7,Unknown,21.19322643832784,84.69565841530834,0,Not At Risk
Penicillin G Benzathine Injection,Current,Anti-Infective,Laboratorios Atral,2023,4,Unknown,7.487634932304857,40.80011658199943,0,Not At Risk
Azacitidine Injection,Current,Oncology,Armas Pharmaceuticals Inc,2020,12,Unknown,0.0,60.83467472726,0,Not At Risk
Flurazepam Hydrochloride Capsule,Current,Neurology,"Rising Pharma Holdings, Inc.",2022,8,Regulatory delay,43.52355095063282,16.5479949268344,0,Not At Risk
Morphine Sulfate Injection,Current,Analgesia/Addiction,"Fresenius Kabi USA, LLC",2017,10,Other,63.18833280940261,23.958399710003807,0,Not At Risk
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,Psychiatry,"Teva Pharmaceuticals USA, Inc.",2022,10,Unknown,0.0,55.3929381133683,0,Not At Risk
Carboplatin Injection,Current,Oncology,Accord Healthcare Inc.,2023,4,Requirements related to complying with good manufacturing practices,36.259384733811416,77.65055262779123,0,Not At Risk
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2012,2,Other,11.98714861756346,52.82349367328452,0,Not At Risk
Allopurinol Tablet,To Be Discontinued,Oncology,"Teva Pharmaceuticals USA, Inc.",2026,2,Unknown,15.257492324706078,38.1127233284906,1,At Risk
Clindamycin Phosphate Injection,Current,Anti-Infective,Sagent Pharmaceuticals,2023,3,Unknown,13.152121515222618,44.98441091931379,0,Not At Risk
Ketorolac Tromethamine Injection,Current,Analgesia/Addiction,"Hikma Pharmaceuticals USA, Inc.",2018,6,Other,7.720184606403681,17.491029852666216,0,Not At Risk
Levothyroxine Sodium Tablet,To Be Discontinued,Endocrinology/Metabolism,"EMD Serono, Inc.",2025,7,Unknown,25.97043255889654,58.29933717981807,1,At Risk
Paricalcitol Capsule,To Be Discontinued,Endocrinology/Metabolism,AbbVie Inc.,2025,10,Unknown,8.380997671779244,64.411327371115,1,At Risk
Rocuronium Bromide Injection,Current,Anesthesia,"Hospira, Inc., a Pfizer Company",2023,2,Unknown,30.409136515596774,35.05401267767223,0,Not At Risk
